model_in_file,avg_score
LLaMA3.2-1B_Baseline,0.06
LLaMA3.2-1B_Prune-0th-Layer,0
LLaMA3.2-1B_Prune-10th-Layer,0.1
LLaMA3.2-1B_Prune-11th-Layer,0
LLaMA3.2-1B_Prune-12th-Layer,0.09
LLaMA3.2-1B_Prune-13th-Layer,0
LLaMA3.2-1B_Prune-14th-Layer,0.04
LLaMA3.2-1B_Prune-15th-Layer,0
LLaMA3.2-1B_Prune-1th-Layer,0.06
LLaMA3.2-1B_Prune-2th-Layer,0
LLaMA3.2-1B_Prune-3th-Layer,0.12
LLaMA3.2-1B_Prune-4th-Layer,0
LLaMA3.2-1B_Prune-5th-Layer,0.08
LLaMA3.2-1B_Prune-6th-Layer,0
LLaMA3.2-1B_Prune-7th-Layer,0.05
LLaMA3.2-1B_Prune-8th-Layer,0
LLaMA3.2-1B_Prune-9th-Layer,0.102040816
