model_in_file,avg_score
LLaMA3.1-8B_Baseline,0.06947790265083313
LLaMA3.1-8B_Prune-0th-Layer,-0.2201124382019043
LLaMA3.1-8B_Prune-10th-Layer,-0.04842394709587097
LLaMA3.1-8B_Prune-11th-Layer,-0.12654898643493653
LLaMA3.1-8B_Prune-12th-Layer,-0.049661686420440665
LLaMA3.1-8B_Prune-13th-Layer,0.06919825315475463
LLaMA3.1-8B_Prune-14th-Layer,-0.20269614934921265
LLaMA3.1-8B_Prune-15th-Layer,0.06208196640014647
LLaMA3.1-8B_Prune-16th-Layer,-0.04998920202255249
LLaMA3.1-8B_Prune-17th-Layer,-0.07882036447525023
LLaMA3.1-8B_Prune-18th-Layer,-0.03712335228919982
LLaMA3.1-8B_Prune-19th-Layer,-0.10935696601867675
LLaMA3.1-8B_Prune-1th-Layer,-0.13112845540046691
LLaMA3.1-8B_Prune-20th-Layer,-0.0942640173435211
LLaMA3.1-8B_Prune-21th-Layer,0.017025911808013924
LLaMA3.1-8B_Prune-22th-Layer,-0.03469614624977112
LLaMA3.1-8B_Prune-23th-Layer,0.008611481189727774
LLaMA3.1-8B_Prune-24th-Layer,-0.09317200303077698
LLaMA3.1-8B_Prune-25th-Layer,0.04883239388465879
LLaMA3.1-8B_Prune-26th-Layer,-0.07599183440208435
LLaMA3.1-8B_Prune-27th-Layer,-0.09088723540306091
LLaMA3.1-8B_Prune-28th-Layer,-0.026469625234603864
LLaMA3.1-8B_Prune-29th-Layer,0.0018089008331298895
LLaMA3.1-8B_Prune-2th-Layer,-0.2511207795143127
LLaMA3.1-8B_Prune-30th-Layer,0.05527778983116148
LLaMA3.1-8B_Prune-3th-Layer,-0.15955487608909608
LLaMA3.1-8B_Prune-4th-Layer,-0.2156202006340027
LLaMA3.1-8B_Prune-5th-Layer,-0.06974730134010315
LLaMA3.1-8B_Prune-6th-Layer,-0.17240228176116942
LLaMA3.1-8B_Prune-7th-Layer,-0.10836918473243713
LLaMA3.1-8B_Prune-8th-Layer,-0.12477000951766967
LLaMA3.1-8B_Prune-9th-Layer,-0.13773282170295714
